id,titulo_dublado,titulo,imdb,ano,genero,tamanho,duracao,qualidade,dublado,sinopse,link
1270,Gone in the Night,Gone in the Night,"4,9",2022,"Drama, Mistério, Suspense",2.14 GB,1h 30 Min.,10,1,"Quando Kath e seu namorado chegam a uma cabana remota em Redwoods, eles encontram um jovem casal misterioso já lá. Mas quando seu namorado desaparece com a jovem, Kath fica obcecada em encontrar uma explicação.",https://comando.la/gone-in-the-night-torrent-2022-dual-audio-5-1-dublado-web-dl-1080p-download/
1269,Avarice,Avarice,"5,4",2022,"Ação, Suspense",1.62 GB,1h 27 Min.,10,0,"Kate, uma talentosa arqueira, está de férias com sua família quando eles são emboscados por uma equipe de mercenários em uma terrível invasão de domicílio. O marido e a filha de Kate são sequestrados durante o ataque violento, e ela deve confiar em suas habilidades de arco e flecha para derrotar seus captores e salvar sua família.",https://comando.la/avarice-torrent-2022-dual-audio-dublado/
1268,Ele Acredita em Papai Noel!,I Believe in Santa,—,2022,"Comédia, Romance",2.16 GB,1h 29 Min.,10,1,"Depois de cinco meses de namoro, Lisa descobre que Tom adora a data comemorativa que ela mais odeia. Será que ela consegue dar outra chance ao Natal em nome do amor?",https://comando.la/ele-acredita-em-papai-noel-torrent-2022-dual-audio-5-1-dublado-web-dl-1080p-download/
1267,Para Sempre Amor,Always Amore,"6,9",2022,Drama,1.59 GB,1h 29 Min.,10,1,"Depois de cinco meses de namoro, Lisa descobre que Tom adora a data comemorativa que ela mais odeia. Será que ela consegue dar outra chance ao Natal em nome do amor?",https://comando.la/para-sempre-amor-torrent-2022-dual-audio-5-1-dublado-web-dl-1080p-download/
1266,O Perdoado,The Forgiven,"6,3/10",2022,Drama,1.79 GB,1h 57 Min.,10,1,"Um casal de ingleses atende a uma festa em uma luxuosa vila no deserto. Entre os convidados estão amigos e marroquinos moradores das redondezas. Durante o evento, um acidente interrompe o clima decadente que se estabeleceu entre os presentes gerando uma série de consequências inesperadas.",https://comando.la/the-forgiven-torrent-2022-dual-audio-dublado/
1265,Os Banshees de Inisherin,The Banshees of Inisherin,"8,2",2022,Comédia | Drama,2.44 GB,1h 54 Min.,10,1,"The Banshees Of Inisherin se passa na ilha fictícia de Inisherin, em 1923, durante a Guerra Civil Irlandesa. Pádraic (Colin Farrell) é um homem extremamente gentil cujo ser inteiro é abalado depois de experimentar a crueldade abrupta e casual de Colm (Breendan Gleeson), dois amigos de longa data cuja amizade é quebrada após o conflito surgir no país. Pádraic, confuso e devastado, tenta reatar o relacionamento com o apoio de sua irmã Siobhan (Kerry Condon), que junto com Dominic (Barry Keoghan), filho do policial local, tem suas preocupações dentro da pequena ilha. Mas quando Colm lança um ultimato chocante para tornar suas intenções realidade, os eventos começam a se intensificar.",https://comando.la/os-banshees-de-inisherin-torrent-2023-dublado/
1264,Programa DNA,Sensation,"4,0",2022,"Suspense, Mistério, Ficção científica",1.75 GB,1h 30 Min.,10,1,"Após ingressar em um programa ultra-secreto para desenvolver um DNA super-humano, um homem descobre ser capaz de receber, controlar e enviar informações e pensamentos com base nos sentidos dos outros. À medida que seu treinamento se desenrola, ocorrências estranhas e perturbadoras começam a segui-lo quando ele é colocado em cenários bizarros que o fazem questionar sua realidade.",https://comando.la/programa-dna-torrent-2022-dual-audio-5-1-dublado-web-dl-1080p-download/
1263,Under Wraps Uma Múmia no Halloween 2,Under Wraps 2,"4,7",2022,"Família, Fantasia",1.73 GB,1h 23 Min.,10,1,"Amy está se preparando para o casamento temático de Halloween de seu pai e Carl, quando ela, Gilbert e Marshall descobrem que Harold, seu amigo múmia, e sua amada Rose podem estar em perigo.",https://comando.la/under-wraps-uma-mumia-no-halloween-2-torrent-2022-dual-audio-5-1-dublado-web-dl-1080p-download/
1262,Sem Controle,Expired/Loveland,"3,7",2022,"Ficção científica, Romance, Suspense",2.60 GB,1h 42 Min.,10,1,"Situado no crepúsculo de neon de uma mega-cidade futurista influenciada por chineses, segue duas almas solitárias; Jack, um assassino endurecido, e April, uma cantora de boate. Juntos, eles buscam o significado de ser humano, até confrontá-los, revelando o verdadeiro mistério de sua existência.",https://comando.la/sem-controle-torrent-2022-dual-audio-5-1-dublado-bluray-1080p-download/
1261,O Sonho de Ontem,Mambo Dreams / El Sueño de Ayer,–,2022,"Drama, Fantasia, Musical",2.04 GB,2h 01 Min.,10,1,"Perez Prado, o Rei do Mambo, desperta na Cidade do México em 2020. Ele procura Magdalena, o amor da sua vida. Durante a sua aventura conhece Lazaro, um jovem que o guiará através da cidade. Perceberá que a vida nocturna e a sua música ainda estão vivas enquanto finalmente encontra Magdalena.",https://comando.la/o-sonho-de-ontem-torrent-2022-dual-audio-5-1-dublado-web-dl-1080p-download/
1260,Mistério da Terra dos Doces,Tayna,"3,3",2022,"Comédia, Família",1.56 GB,1h 26 Min.,10,1,"Pouco antes do Ano Novo, os destinos de Katya e Sonya, duas garotas com condições de vida opostas, se entrelaçam de maneira inesperada. Elas são completamente diferentes uma mora com seu irmão mais novo em um orfanato, e a segunda mora com seu pai rico e uma governanta em uma mansão rural. A única coisa que Sonya não tem é sua mãe, que desapareceu sem explicações. Mas o destino tem um segredo guardado para as duas. Quando Sonya vai ao circo, Katya e seu irmão também estão lá. O encontro das crianças fará com que vivam uma incrível jornada, enquanto tentam resolver um grande mistério.",https://comando.la/misterio-da-terra-dos-doces-torrent-2022-dual-audio-5-1-dublado-web-dl-1080p-download/
1259,Bromates,Bromates,"4,1",2022,Comédia,2.40 GB,1h 37 Min.,10,1,"Quando os melhores amigos – embora completamente opostos – Jonesie e Sid terminam com suas namoradas ao mesmo tempo, eles decidem morar juntos em uma tentativa equivocada de ajudar um ao outro com seus respectivos términos. Ao lado de seus amigos Angry Mike e Runway Dave, as coisas rapidamente mudam de mágoas para diversão, para a vida, e potencialmente, para a morte.",https://comando.la/bromates-torrent-2022-dual-audio-5-1-dublado-web-dl-1080p-download/
1258,Vulcão Whakaari Resgate na Nova Zelândia,The Volcano Rescue from Whakaari,"7,4",2022,Documentário,1.22 GB,1h 37 Min.,10,0,"Com imagens detalhadas, relatos de sobreviventes e das equipes de resgate, este documentário retrata a erupção vulcânica que aconteceu na Nova Zelândia em 2019.",https://comando.la/vulcao-whakaari-resgate-na-nova-zelandia-torrent-2022-dublado-web-dl-1080p-download/
1257,Varig A Caixa-Preta do Brasil,Varig A Caixa-Preta do Brasil,—,2022,Documentário,2.25 GB,1h 37 Min.,10,0,"Conhecer a história da primeira multinacional brasileira é conhecer a história do Brasil e entender os rumos do nosso país. A trajetória da Varig é a bússola que aponta para um problema nacional. Tal como a companhia, por anos o Brasil tem sido tratado como a grande aposta do futuro.",https://comando.la/varig-a-caixa-preta-do-brasil-torrent-2022-nacional-web-dl-1080p-download/
1256,A Maldição Despertar dos Mortos,The Cursed,"6,0",2022,Mistério | Terror | Suspense,1.94 GB,1h 49 Min.,10,1,"Uma série de assassinatos são cometidos por mortos-vivos. No primeiro caso, o corpo do suspeito é encontrado ao lado da vítima na cena do crime, mas a polícia descobre que o cadáver morreu há três meses. Enquanto isso, a jornalista LIM Jin-hee recebe uma ligação misteriosa de um homem que afirma ser o culpado do assassinato. O suspeito avisa que mais três assassinatos estão por vir, e que serão executados por cadáveres que ressuscitaram dos mortos, os Jaechaui. No dia do primeiro assassinato anunciado, a polícia está apostos para capturar o assassino quando é surpreendida por um ataque de um exército Jaechaui. Quem está por trás de tudo isso e qual o motivo?",https://comando.la/a-maldicao-despertar-dos-mortos-torrent-2022-dual-audio-5-1-dublado-web-dl-1080p-download/
1255,Vale dos Cangurus,Kangaroo Valley,"7,8",2022,Documentário,1.05 GB,1h 37 Min.,10,0,A jovem canguru Mala aprende o que é preciso para sobreviver ao seu incrível primeiro ano. Apenas um em cada cinco chega ao primeiro aniversário. O maior inimigo de Mala é o dingo branco que assombra sua família.,https://comando.la/vale-dos-cangurus-torrent-2022-dublado-web-dl-1080p-download/
1254,Histórias para Não Contar,Stories Not to be Told,"6,7",2022,Comédia,1.87 GB,1h 40 Min.,"8,5",0,"Cinco contos de vulnerabilidade humana e as curvas hilariantes, dolorosas e desajeitadas que a vida nos lança.",https://comando.la/historias-para-nao-contar-torrent-2022-dual-audio-dublado/
1253,The Eternal Daughter,The Eternal Daughter,"6,1",2022,"Drama, Mistério",1.81 GB,1h 36 Min.,10,0,"Retornando a um hotel agora assombrado por seu passado misterioso, uma artista e sua mãe idosa confrontam segredos há muito enterrados na antiga casa de sua família.",https://comando.la/the-eternal-daughter-torrent-2022-dual-audio-dublado/
1252,Armageddon Time,Armageddon Time,"6,7",2022,Drama,2.12 GB,1h 54 Min.,10,0,Uma história de amadurecimento profundamente pessoal sobre a força da família e a busca geracional do sonho americano.,https://comando.la/armageddon-time-torrent-2022-dual-audio-dublado/
1251,A Wounded Fawn,A Wounded Fawn,"5,6",2022,Terror,1.76 GB,1h 23 Min.,10,0,"Uma curadora de um museu local que está mergulhando de novo na piscina de namoro é alvo de um charmoso serial killer. Quando uma fuga romântica fatídica entre os dois se torna um jogo tenso de gato e rato, ambos devem enfrentar a loucura dentro dele.",https://comando.la/a-wounded-fawn-torrent-2022-dual-audio-dublado/
